ScopeOfWork,SubcontractorName,TotalSubAmount,ContractsCount,ScopeTotalSub,ShareOfScope
"""Tarqe"" down piles",Substructure Support,254190.0,0,254190.0,1.0
"2, 3, 10, 11, 16, 17, 19",Hernandez Engineering,299765.0,0,299765.0,1.0
"9A, 15B, Parcel","Devaney Engineering, Inc.",700000.0,0,700000.0,1.0
AC & Grinding,Roadway Construction Inc.,179000.0,0,179000.0,1.0
AC Paving & Asphalt Work (Consolidated),Esquivel Grading & Paving,517960.0,0,13212611.0,0.039201941236293114
AC Paving & Asphalt Work (Consolidated),Interstate Grading and Paving,77331.0,0,13212611.0,0.005852817433284004
AC Paving & Asphalt Work (Consolidated),Radius Earthwork Inc,1210000.0,0,13212611.0,0.09157917386654311
AC Paving & Asphalt Work (Consolidated),Roadway Construction Inc.,6539920.0,0,13212611.0,0.4949755956638699
AC Paving & Asphalt Work (Consolidated),"Ronan Construction, Inc.",4867400.0,0,13212611.0,0.36839047180000983
Asphalt,QA Constructors ,925985.0,0,925985.0,1.0
"Asphalt, Planing, Paving","Ronan Construction, Inc.",946450.0,0,946450.0,1.0
"B/1 SW4,8-13,20 & 32",Nor-Cal Pipeline Services,63702.0,0,63702.0,1.0
Bid Item 15B Partial,Baytech Engineering,43900.0,0,43900.0,1.0
Bid Item 17 (Partial),Total Traffic Control Inc.,10000.0,0,10000.0,1.0
Bid Item 6,Rogers Trucks,615000.0,0,615000.0,1.0
Bid Item 7,Ponder Environmental Services,30000.0,0,30000.0,1.0
Bid Item R-19,Asphalt Impressions,43471.0,0,43471.0,1.0
"Bid Items 3, 5B, 6A, 16A and 16B",LC General Engineering,230000.0,0,230000.0,1.0
Bid Items 6 & 7,"Apex Testing Laboratories, Inc.",12000.0,0,12000.0,1.0
Bypass,Pipe & Plant Solutions,387500.0,0,387500.0,1.0
CCTV,Nor-Cal Pipeline Services,122600.0,0,122600.0,1.0
Cast in place Concrete (Partial),R&S Construction Management Inc,161690.0,0,161690.0,1.0
Cathodic protection,Corr Pro,10500.0,0,10500.0,1.0
"Chain link and agricultural fences, Gates","Ranch Fence, Inc.",641025.0,0,641025.0,1.0
Civil (Partial),"Azul Works, Inc.",752000.0,0,752000.0,1.0
"Civil, Utilities",Fontenoy Engineering,168700.0,0,168700.0,1.0
Coating,FD Thomas Inc.,25350.0,0,1102350.0,0.022996326030752485
Coating,Jeffco Painting & Coating Inc.,420000.0,0,1102350.0,0.3810042182609879
Coating,Murphy Industrial Coatings,482000.0,0,1102350.0,0.4372476980995147
Coating,Redwood Painting Co Inc.,175000.0,0,1102350.0,0.15875175760874496
Coating and lining work,Redwood Painting Co Inc.,250000.0,0,250000.0,1.0
Coating/Painting,Redwood Painting Co Inc.,10000.0,0,10000.0,1.0
Conc. Flatwork & Large MH Bases,R&S Construction Management Inc,236408.0,0,236408.0,1.0
Concrete Work (Consolidated),Basset Engineering,2521633.0,0,31040513.5,0.0812368326316509
Concrete Work (Consolidated),Cell-crete Corporation,59978.5,0,31040513.5,0.0019322650702927322
