Scope of Work,LBE_Count,Total_Subs,LBE_Rate,Total_Dollars,LBE_Dollar_Share
"Items - 35, 36, 37, 38, 39, 40, 41, 42, 43",0,1,0.0,7040083.0,0.0
Tunneling,0,1,0.0,6187000.0,0.0
Micro tunneling,0,2,0.0,5466760.0,0.0
Electrical/HVAC/Controls/Automation/Instrumentation,1,1,1.0,4485162.0,1.0
Traffic Control,10,10,1.0,3713000.0,1.0
Water Treatment,0,1,0.0,3268963.0,0.0
R1-R20 Concreate,1,1,1.0,2200000.0,1.0
Concrete,4,4,1.0,1992752.0,1.0
AC Grinding and Paving,2,2,1.0,1937500.0,1.0
Fabrication of Structural and Miscellaneous Metals,0,1,0.0,1900000.0,0.0
Civil Engineering (partial),1,2,0.5,1631744.0,0.061284122999686226
Furnish and Install Reinforcing Steel,1,1,1.0,1611052.0,1.0
"Supply/Install Vaults (partial), FTB",1,1,1.0,1500000.0,1.0
Electrical Testing Coordinator (Partial),0,1,0.0,1436600.0,0.0
FCF Pad & Priest Portal Walls,0,1,0.0,1300000.0,0.0
Electrical (Partial),0,1,0.0,1300000.0,0.0
AC Paving,2,3,0.667,1196910.0,0.49870917612853094
Asphalt Grinding & Paving,1,2,0.5,1177331.0,0.9343166874906037
Trucking,4,6,0.667,1155000.0,0.48917748917748916
Shoring,0,2,0.0,1120000.0,0.0
Mill & Fill,0,1,0.0,946450.0,0.0
Structural Steel,0,1,0.0,933249.0,0.0
Waterproofing,1,2,0.5,929963.0,0.08871320686952061
Concrete ,1,1,1.0,900000.0,1.0
Traffic control,2,2,1.0,842000.0,1.0
Electrical Engineering,0,1,0.0,757000.0,0.0
Civil (Partial),0,1,0.0,752000.0,0.0
Concrete Work,2,2,1.0,750000.0,1.0
"AC Paving, Sawcutting, Traffic Control",1,1,1.0,750000.0,1.0
Geotechnical Engineering,1,2,0.5,720000.0,0.7847222222222222
"Concrete Flatwork, Sawcutting, Traffic Control",1,1,1.0,680000.0,1.0
Trucking & Hauling,3,3,1.0,650000.0,1.0
"Survey, SWPPP, Materials Testing",1,1,1.0,650000.0,1.0
"Chain link and agricultural fences, Gates",0,1,0.0,641025.0,0.0
Geotechnical work,0,1,0.0,626000.0,0.0
Furnish and install protective coatings,0,1,0.0,616328.0,0.0
Ground Improvements,0,1,0.0,603600.0,0.0
Excavation,1,1,1.0,600000.0,1.0
Pavement Restoration,1,1,1.0,592900.0,1.0
"Concrete, furnish and install flap gates",1,1,1.0,550000.0,1.0
"Grinding, Paving, and Concrete Work Partial",1,1,1.0,545000.0,1.0
Did not list,1,1,1.0,497000.0,1.0
Grinding & Paving,1,1,1.0,491000.0,1.0
Coating,0,1,0.0,482000.0,0.0
Concrete Flatwork (partial),1,1,1.0,447000.0,1.0
Bypass,0,1,0.0,387500.0,0.0
Modulars,0,1,0.0,373786.0,0.0
Concrete structures,1,1,1.0,365860.0,1.0
"Paving, saw cutting, traffic control",1,1,1.0,365000.0,1.0
Torque Down Piles,0,2,0.0,354880.0,0.0
Manholes & Structural Work (Partial),1,1,1.0,352253.0,1.0
Fiber Optics,0,1,0.0,318765.0,0.0
"Electrical, IT, Comm",1,1,1.0,288600.0,1.0
Electric,2,2,1.0,281900.0,1.0
Electrical,1,1,1.0,280000.0,1.0
"SW-4, SW-7 to SW-14",0,1,0.0,277439.0,0.0
NETA Testing,0,1,0.0,270000.0,0.0
"Demo, Street Base, Concrete",1,1,1.0,270000.0,1.0
Drilling,1,1,1.0,254408.0,1.0
"SW-32-Partial, SW-33-Partial, SW-40-Partial",1,1,1.0,252500.0,1.0
Piles,0,1,0.0,250666.0,0.0
"SW-03A-Partial, SW-25, SW-36, SW-37, SW-38",0,2,0.0,247060.0,0.0
Sewer cleaning,0,1,0.0,233946.0,0.0
Concrete Flatwork + Concrete Street Base (for SW-13 Sewer),1,1,1.0,228700.0,1.0
"Demo (partial), excavation (partial)",1,1,1.0,210000.0,1.0
Medium Voltage Terminations,0,1,0.0,207650.0,0.0
"Pipe, Irrigation, Tags",1,1,1.0,200000.0,1.0
Sawcut,1,1,1.0,200000.0,1.0
AC Mill & Fill,1,1,1.0,197000.0,1.0
AWSS & Roadway Design & Pre Construction Surveying,0,1,0.0,190000.0,0.0
"Civil, Utilities",1,1,1.0,168700.0,1.0
Glazing,0,1,0.0,166600.0,0.0
Rebar,0,1,0.0,151961.0,0.0
D2 & D3 (partial),1,1,1.0,150000.0,1.0
Sawcutting,2,2,1.0,140000.0,1.0
Shotcrete,0,1,0.0,131250.0,0.0
Demolition/Brushing,1,1,1.0,122790.0,1.0
Drywall,1,1,1.0,120947.0,1.0
Electrical & Instrumentation,1,1,1.0,117900.0,1.0
Structural Steel Install,0,1,0.0,109200.0,0.0
Concrete (Partial),1,1,1.0,100000.0,1.0
Sweeping & Equipment rental,1,1,1.0,100000.0,1.0
Roofing,1,1,1.0,92500.0,1.0
"SW-5, 13, 14, 15, 26, 34",0,1,0.0,92000.0,0.0
Mortaring Work,0,1,0.0,76934.0,0.0
Traffic Control (Partial),1,1,1.0,75000.0,1.0
Soil Sampling,0,1,0.0,74000.0,0.0
Plumbing,1,1,1.0,73700.0,1.0
Jackson outfall bulkhead,0,1,0.0,60786.0,0.0
Cellular concrete fill,0,1,0.0,59978.5,0.0
Phase II ESA/Soil Profiling,1,1,1.0,57800.0,1.0
Manhole Mortaring,0,1,0.0,50450.0,0.0
P1-P5,1,1,1.0,50000.0,1.0
Geotechnical & Structural Engineering,1,1,1.0,50000.0,1.0
SW-8 Bases Only,1,1,1.0,49000.0,1.0
