Scope,Total_Value,LBE_Share,LBE_Count,NonLBE_Count
Concrete,8517016.0,0.732,10,1
Traffic control,3545240.0,0.867,6,1
Trucking,3529848.0,0.637,13,5
Asphalt Grinding & Paving,2297131.0,0.966,2,1
Waterproofing,2066249.0,0.08,2,2
Mill & Fill,1811984.0,0.478,2,1
HVAC,1739015.0,0.152,1,1
AC paving,1736867.0,0.655,1,1
Civil Engineering (partial),1631744.0,0.061,1,1
Electrical,1317100.0,0.796,8,1
AC Paving,1196910.0,0.499,2,1
Trucking & Hauling,1150000.0,0.739,4,1
Structural Steel,1103249.0,0.154,1,1
Geotechnical Engineering,972600.0,0.581,1,2
No info,438000.0,0.288,1,1
Trucking Partial,425456.0,0.176,1,1
Plumbing,240825.0,0.895,3,1
