Scope of Work,LBE_Count,Total_Subs,LBE_Rate,Total_Dollars,LBE_Dollar_Share
Micro tunneling,0,7,0.0,22171120.0,0.0
"Electrical, Communications, Electronic Safety and Security, Process Integration",0,1,0.0,18787407.0,0.0
Concrete,10,11,0.909,8517016.0,0.7322347404302164
"Items - 35, 36, 37, 38, 39, 40, 41, 42, 43",0,1,0.0,7040083.0,0.0
Water/sewer pipe install,0,1,0.0,6979884.0,0.0
Tunneling,0,1,0.0,6187000.0,0.0
Tunnel/microtunnel,0,1,0.0,5927200.0,0.0
Electrical and Instrumentation,1,1,1.0,5872222.0,1.0
Concrete Flatwork + Concrete Street Base,2,2,1.0,5811131.0,1.0
Pipe jacking and microtunneling ,0,1,0.0,5500000.0,0.0
Traffic Control,23,23,1.0,5307500.0,1.0
Electrical/HVAC/Controls/Automation/Instrumentation,1,1,1.0,4485162.0,1.0
WTS Systems (Bid Item #2 and #3),0,1,0.0,3977601.0,0.0
"Supply/Install Vaults (partial), FTB",2,2,1.0,3800000.0,1.0
Traffic control,6,7,0.857,3545240.0,0.8665139736660987
Trucking,13,18,0.722,3529848.0,0.6365033281886359
Water Treatment,0,1,0.0,3268963.0,0.0
Furnish and Install Reinforcing Steel,2,2,1.0,3255030.0,1.0
Concrete ,3,3,1.0,3217851.0,1.0
Grinding & Paving,4,4,1.0,3059300.0,1.0
Concrete Work,3,3,1.0,2989609.0,1.0
Water small diameter,1,1,1.0,2572812.0,1.0
Asphalt Grinding & Paving,2,3,0.667,2297131.0,0.9663358336986441
R1-R20 Concreate,1,1,1.0,2200000.0,1.0
Waterproofing,2,4,0.5,2066249.0,0.07985484808462097
AC Grinding and Paving,2,2,1.0,1937500.0,1.0
Fabrication of Structural and Miscellaneous Metals,0,1,0.0,1900000.0,0.0
Mill & Fill,2,3,0.667,1811984.0,0.4776719882736271
"Misc Metals, Structural Steel & Water Tight Doors",0,1,0.0,1801245.0,0.0
HVAC,1,2,0.5,1739015.0,0.15181007639382063
AC paving,1,2,0.5,1736867.0,0.6545504059896353
Electrical Engineering,0,2,0.0,1703000.0,0.0
Shoring,0,3,0.0,1695000.0,0.0
Water Work,1,1,1.0,1675946.0,1.0
Civil Engineering (partial),1,2,0.5,1631744.0,0.061284122999686226
Electrical Testing Coordinator (Partial),0,1,0.0,1436600.0,0.0
"Partial Elec. Demo, Sawcutting, Trenching, Ductbank Encasement, Pullboxes, Backfill, Hardscape Repair (Partial)",1,1,1.0,1428000.0,1.0
Saw Cutting - Traffic Control - AC Paving,1,1,1.0,1400000.0,1.0
Painting & Coating,0,3,0.0,1381605.0,0.0
Electrical,8,9,0.889,1317100.0,0.7957634196340445
Concrete pavement restoration,1,1,1.0,1308480.0,1.0
Electrical (Partial),0,1,0.0,1300000.0,0.0
FCF Pad & Priest Portal Walls,0,1,0.0,1300000.0,0.0
"Concrete Work, Paving",2,2,1.0,1275000.0,1.0
AC Paving,2,3,0.667,1196910.0,0.49870917612853094
Trucking & Hauling,4,5,0.8,1150000.0,0.7391304347826086
AC panel/asphalt pave,1,1,1.0,1136866.0,1.0
Structural Steel,1,2,0.5,1103249.0,0.15409032775012713
Coating,0,3,0.0,1077000.0,0.0
Concrete Flatwork,2,2,1.0,1046700.0,1.0
Geotechnical Engineering,1,3,0.333,972600.0,0.5809171293440263
"Asphalt and Concrete Paving, Sawcutting, Traffic Control",1,1,1.0,972000.0,1.0
Asphalt Work,1,1,1.0,946450.0,1.0
"Asphalt, Planing, Paving",1,1,1.0,946450.0,1.0
Steel Erection & Metal Decking,0,1,0.0,933205.0,0.0
Asphalt,1,1,1.0,925985.0,1.0
Structural Concrete,1,1,1.0,922935.0,1.0
AC Paving & Concrete flatwork,2,2,1.0,895887.0,1.0
Flatwork and Mill & Fill,1,1,1.0,860000.0,1.0
Sewer,2,2,1.0,846180.0,1.0
Not listed,2,2,1.0,814206.75,1.0
"SW-4 (5-10 Partial), PR 1, 4-11, 15, 16",1,1,1.0,800000.0,1.0
Saw Cutting,4,4,1.0,799225.0,1.0
Civil (Partial),0,1,0.0,752000.0,0.0
"AC Paving, Sawcutting, Traffic Control",1,1,1.0,750000.0,1.0
